"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 0648CC0007 / Javelin (AAWS-M) System Summary,,,,,,,,,,,,Item Number / Title [DODIC]: H06103 / Javelin Lightweight Command Launch Unit (CLU),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2025,,,,,,,,,,,,,Fiscal Year 2026,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2024,BAL DUE AS OF 1 OCT,,,,Calendar Year 2025,,,,,,,,,,,,,Calendar Year 2026,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Light Weight CLU Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2021,ARMY,5,5,0,7 7 7 7 7 7 7 7,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2022,ARMY,86,30,56,7,7,7,7,7,7,,7,7,,,,,,,,,,,,,,,,,0
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
