"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 20,,,,,,,,,,,,,P-1 Line Item Number / Title: 2607C71300 / Long Range Precision Munition,,,,,,,,,,,,Item Number / Title [DODIC]: C71304 / LRPM-INTERIM,,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2023,,,,,,,,,,,,,Fiscal Year 2024,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2022,BAL DUE AS OF 1 OCT,,,,Calendar Year 2023,,,,,,,,,,,,,Calendar Year 2024,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
All Up Rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2021,ARMY,153,0,153,-,-,-,-,20,20,,20,20,20,20,20,13,20 20 20 20 20 19,,,,,,,,,,,,0
,1,2022,ARMY,179,0,179,-,-,-,-,-,-,,-,-,-,20,20,20,20,20,20,20,20,19,,,,,,,0
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
