"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,,,,,,P-1 Line Item Number / Title: 8082C14300 / M-SHORAD - Procurement,,,,,,,,,,,,Item Number / Title [DODIC]: C14301 / Maneuver - Short Range Air Defense (M-SHORAD),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2022,,,,,,,,,,,,,Fiscal Year 2023,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2021,BAL DUE AS OF 1 OCT,,,,Calendar Year 2022,,,,,,,,,,,,,Calendar Year 2023,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Initial M-SHORAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2020,ARMY,28,0,28,-,-,-,-,-,-,,-,-,1,3,4,6,6,6,2,,,,,,,,,,0
,1,2021,ARMY,59,0,59,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,2,4,4,6,6,6,6,6,6,6,7
,1,2022,ARMY,37,0,37,,,,,,,,,,A -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
