"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 6060C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,,,,,,,Item Number / Title [DODIC]: C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2019,,,,,,,,,,,,,Fiscal Year 2020,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2018,BAL DUE AS OF 1 OCT,,,,Calendar Year 2019,,,,,,,,,,,,,Calendar Year 2020,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Reduced Range Practice Rocket (LCRRPR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 42861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,"1,362",339,"1,023",114,114,114,114,114,114,,113,113,113,,,,,,,,,,,,,,,,0
,1,2017,MC (‡),648,162,486,54,54,54,54,54,54,,54,54,54,,,,,,,,,,,,,,,,0
,1,2017,Total,"2,010",501,"1,509",168,168,168,168,168,168,,167,167,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2017,ARMY,342,172,170,29,29,28,28,28,28,,- - - - 256 256 256 257 257 257 257 257 257 256 256 256 - - - - 54 54 54 54 54 54 54 54 54 54 54 54,,,,,,,,,,,,,,,,,,0
,1,2018,ARMY,"3,078",0,"3,078",-,-,-,-,-,-,,-,-,-,-,256,256,256,257,257,257,257,257,257,256,256,256,,,0
,1,2018,MC (‡),648,0,648,-,-,-,-,-,-,,-,-,-,-,54,54,54,54,54,54,54,54,54,54,54,54,,,0
,1,2018,Total,"3,726",0,"3,726",-,-,-,-,-,-,,-,-,-,-,310,310,310,311,311,311,311,311,311,310,310,310,-,-,0
,2,2018,ARMY,342,0,342,,,,,,A -,,28,28,28,29,29,29,29,29,29,28,28,28,,,,,,,0
,1,2019,ARMY,"1,542",0,"1,542",,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,129,"1,284"
,1,2019,MC (‡),648,0,648,,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,54,54,54,432
,1,2019,Total,"2,190",0,"2,190",,,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,54,183,183,"1,716"
,2,2019,ARMY,672,0,672,,,,,A -,-,,-,-,-,-,-,-,-,-,-,-,-,-,56,56,56,56,56,56,336
,1,2020,ARMY,"1,446",0,"1,446",,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,"1,446"
,1,2020,MC (‡),648,0,648,,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,648
,1,2020,Total,"2,094",0,"2,094",,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,"2,094"
,2,2020,ARMY,"1,536",0,"1,536",,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,"1,536"
,1,2021,ARMY,"2,910",0,"2,910",,,,,,,,,,,,,,,,,,,,,,,,,,"2,910"
,2,2021,ARMY,342,0,342,,,,,,,,,,,,,,,,,,,,,,,,,,342
,1,2022,ARMY,"2,706",0,"2,706",,,,,,,,,,,,,,,,,,,,,,,,,,"2,706"
,2,2022,ARMY,342,0,342,,,,,,,,,,,,,,,,,,,,,,,,,,342
,2,2022,MC (‡),792,0,792,,,,,,,,,,,,,,,,,,,,,,,,,,792
,2,2022,Total,"1,134",0,"1,134",,,,,,,,,,,,,,,,,,,,,,,,,,"1,134"
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
